Accession,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7
P15144,74091605.74,34549589.68,210918156.6,94360362.74,99297318.08,43850584.41,132376812.1
P04433,195873656.7,64052806.69,49127516.69,76569801.28,99257483.09,53294000.25,56713394.13
P35579,53596917.82,52569612.45,47372490.59,79289863.95,105965849.1,313507908.3,117801008.8
Q14624,88370095.08,104158512.8,209198135.5,83765093.45,97105542.67,98608073.06,128594343.8
Q08380,322188519.3,128966330.2,15817578.93,90604207.61,90966781.99,87889848.03,87836037.08
O60763,41404975.67,112612572.7,16963981.63,135947479,206905709,195718713.7,56171993.88
P01780,196337853,88203238.05,39827900.78,87374058.25,85489601.98,66313667.63,36154620.72
Q16576,53781141.75,17745368.83,300238584.8,101542667.6,104254608.3,54122177.97,152498757.9
P02774,43969592.22,26177426.29,279353305.9,148235646.5,80123687.14,61936841.84,129691346.1
Q9Y2X3,54992057.68,14838391.5,296790016.5,98994102.34,100723545.2,50196202,150856092.7
P02766,39240803.75,18758348.75,265376806.8,172605236.9,79496965.47,28759269.09,146482187
O14818,63999021.67,86034423.52,47656521.41,57064898.63,25826079.09,23083908.38,114243124.1
P12259,105521390.9,127194182.5,74279809.27,64635776.84,129669905,150277924.6,73952124.94
P14618,92741394.38,89123732.37,62313395.67,60023078.88,76258006.63,124806647.5,96312656.31
P49327,99267937.79,66188962.64,95481866.27,45079880.27,46626224.44,56080494.13,107818249.7
A0A0B4J1V0,155155203,67956913.59,54206894.88,96777538.95,78552412.88,38116917.11,44229821.37
P01860,122305281.9,77961971.14,128130417.9,61191090.05,39204958.94,48196813.22,63021206.62
O75636,108447932,116723343.9,39842270.66,57500794.28,124581123.4,66303871.59,83531730.08
P62701,43472293.03,26862334.78,311084924,108922332.7,79849621.95,45636869,116883182.1
P04217,26824052.75,15585328.79,256537031.4,132200487.3,95619900.52,77633100.55,106593799.6
P05783,143716946.1,43244516.38,60834738.86,72198556.45,80718926.36,48629566.59,60425450.72
P08603,104953960.3,47743822.75,163172861.1,101755329.9,53250233.34,48327238.85,132416822.3
P23634,42000921.5,35495029.31,200224319,129484791.8,96068912.13,30251204.81,92376621.25
P05164,124288914.8,75042157.19,71401537.69,80791024.59,107852261.6,116724011.4,64705379.95
P01008,43950098.22,15880439.54,233406148,108224156,84985706.81,58057754.94,96078903.84
P23396,50586368.8,40778020.81,119741899.9,83825269.33,56577047,44832025.34,87484675.84
A0A087WW87,140745482.5,28515384.75,80412690,67978867.69,57612029.16,57039309,55740742
P02763,38875954.23,18086170.05,151769223,81503442.66,52219533.91,86298231.5,68107349.59
O75891,46070564.66,65335229.42,42168542.69,29754918.72,14507808.02,27343867.59,44102499.5
P63104,50652511.13,128559881.2,21416201.03,20781625.07,93998843.14,222887305.9,65367381.47
P00751,62395476.64,28718055.16,144527065,75590496.78,45124149.77,49265267.85,101811747
P01011,45999612.84,28343445.96,158704932,73118749.17,46137771.53,50734229.72,52573080.05
A0A0B4J1U7,122080610,46504565.94,42395434.75,30936067.09,89724032.63,20581045.59,52935473.84
P23528,81902709.63,58116699.98,38973005.34,37930819.53,107098993.6,149289265.5,58604511.69
P68032,44669173.14,67790970.37,35965918.01,29398454.78,80584847.68,220027602.7,70291044.32
P05787,62705567.5,94104499.31,45244653.56,73623165.5,43134270.88,57353378.38,43485299.55
P19827,45081844.41,31503556.67,169287067.4,72427195.56,35045064.86,31834379.81,93738872.02
P02656,48571519.91,48031940,128480039,67754511.63,33717455.63,25636546,74670066.81
P01824,90964087.63,58839219.64,17108172.5,71052102.75,73854637.88,21042706.5,34144316.69
P04406,59248412.15,108477629.7,31771701.52,35091128.41,72539291.73,124159437.7,49688303.65
P01861,51485449.91,25436283.66,34296777.13,66870147.32,35977338.81,23506502.03,45525340.77
Q32MZ4,34702044,58903908,33081628,21980458,88989384,234228944,75416112
P40429,80006520,51936730.5,31099439,63004430,88476975.63,97530612.14,41981180.69
P18206,29632734.41,84863964.98,22947505.34,8602646.32,77651393.75,229252579,82986765.69
Q13813,43673759.38,21899841.17,180784977.5,64363873.03,55121256.41,30841542.34,58842673.09
Q9NQW7,28872024.28,28841380.14,136016156,68072617.2,59658045.95,29717950,78000080
P02745,129259780.1,83538234.94,14080865.97,24494016.58,33247666.25,13705564.38,41907348.95
Q99623,42140006.25,19439005.47,219032213.4,63499328.22,45950267.56,36790387.88,51675100.05
P12111,33529123.97,23939861.7,119797032.5,30115847.02,125891801,31786045.15,74281354.13
P40227,51223796.25,53847633.8,50146597.91,58124677.73,77367814.51,66773248.28,59691069.12
P06727,21527941.47,60573007.32,183247443.6,33958168.89,12971765.25,21857017.17,153210732.7
P10909,72356122.66,67778733.13,55879319.94,41544930.39,35732290.23,46179376.98,51410234.23
P49368,78235770.25,59218852.42,54535066.75,39195328.92,55714373.86,72959809.28,51863327
P04196,47117281.16,35603299.09,92815748.94,45103402.22,33501895.05,30059482.28,92111970.09
Q5VW32,40438484,51615488,49109172,37372184.88,18900754.06,22567013.08,54753264
P0DP03,76242275.67,60492863.03,8812731.594,30934700.69,58395801.19,21396807.48,15741397.97
P20851,84263246.11,114333979.5,11678941.13,15855533.94,26611857.48,14997815.03,45338986.81
P53621,99375169.28,61561617.41,39579770.23,45279457.94,23734215.03,16642687.2,47192938.16
P62328,34605947.83,144573446.9,23585013.09,11688545.9,82988314.02,145072411.6,52507884.59
Q9BT78,40650406.25,24998124,56447181.38,30920086,15045981,23818755.66,55735392
P68371,46353419.95,45826890.65,35399119.77,27793557.89,78272121.37,105802584.8,75218038.64
A0A0C4DH38,100334419.4,34530875.19,8231883.625,24463370.66,38106353.75,13309912.41,23560189.19
P06396,32395656.91,41011886.94,49102573.18,24187912.48,62390755.78,126378320.1,54137446.32
Q09666,63826464.6,30264295.85,57716786.7,58816445.38,39039532.64,42603077.17,53709833.33
P08727,103063735.9,63639971.66,12065769.19,21606436,27275510.59,20141694.69,30309766.47
Q07020,107236830.9,24785009.38,4592648.438,39485673.88,44451694.5,23066769.13,18655178.5
P04004,44839418,20624820.97,114861563,57932097.72,22432184.5,15229270.64,101231308.5
Q8WUM4,52537227.38,50554821.96,51335393.61,49024806.89,45397571.77,42254470.56,43201727.09
A0A0B4J1X5,57820356.19,25072020.03,28244278.59,44602121.5,42857373.55,19143682.19,18139362.58
P05106,30757455.03,60538913.23,16781523.86,12632405.06,56499193.5,152022882.1,50775723.73
Q9NNW5,21063220,23360946,10150376,76600120,98166088,96732704,30073128
P62805,33002625.64,70201716.91,42194360.59,51705925.55,22784437.14,18971683.2,54784770
P05546,34448737.42,27610093.39,139595284.4,65447461.59,32602236.14,20570240.89,66234030.19
Q9BY32,74358376,84389336,6658708,15093638,16941638.81,11739168.5,25976744
P06310,78605130.38,25572818.75,18503938.31,44572448.5,32551313.31,19928996.63,20220832.13
Q71U36,32060978.88,51051797.55,13314469.88,16406869.35,65027108.17,98048192.52,40133158.17
Q04760,46538935.19,23245119.97,27130206,39498124,36367547.95,16604203.06,16381159
P02775,13682211.7,22874043.09,19248805.97,20908863.05,72104304.58,136281547.3,53369920.38
P07996,13594949.34,19632144.86,26742324.72,24035661.28,36790231.53,153484258.2,43088346.13
P01031,69982621.25,45466721.45,30971874,29943604.59,24495765.81,18380882.94,33269385.86
O75534,55161024.03,31797152,26659264.78,42255216,27127010,21592066.5,18371340
P01042,19264843.59,17244536.36,119061577,32025248.77,15590319.83,14115707.58,89938579.81
P04264,4827446.953,17776609.3,91009255.8,18342929.59,15809347.8,46353527.9,23851963.64
P19338,50218366.33,45478769.55,32570979.84,26383661.58,22461002.14,24930220.94,45941646.88
P67936,19909233.75,37628943.86,19801465.14,15480502.6,48753766.03,128550753.8,42058507.2
P36871,33823789.7,29343667.95,18454916.7,39374280.48,38960643.07,100012680.5,31258567.63
P08758,50669171.03,30819224.72,33109272.67,29350542.53,22780650.78,21260657.7,28174770.44
P01701,56107304.31,16900190.7,4454413.688,54842333,20729481.11,9862040.5,9680147.953
Q99459,27099199.25,9134409,14217112.2,20408804,7092638,6896933.5,15139086.5
Q02750,85484984,44895296,8750011.938,13685679.5,13242641,8485119,32029843.13
P0C0L4,48695679.22,36094078.38,4105383,15611572.32,20250298.19,16069302.61,17447330.28
Q04917,25724271.22,35644716.66,15221301.78,12850758.19,22285926.16,39224944.66,29527297.19
Q13263,43032907.05,8813378.25,34608095.02,77865637.69,46320656.94,54659041.45,17721002.69
A0A075B6I0,94042912.5,19469709.53,7124331.797,10132564,24721232.78,21948242,23512850.41
P00747,28070113.22,21965310.58,71294456.45,35042024.91,18614907.16,11485076.27,37928713
P04792,32752751.76,7901557.695,64699063.25,62805153.13,43131899.78,26072049.3,32963168.25
Q15149,30278219.92,30816444.38,53637548.2,28008129.64,36386394.5,31134618.47,36010338.33
P01602,73023960.5,18890331.81,11958416.45,28968307.56,21986779.53,2594390.672,11944572.5
P04075,16124092.25,37296398.7,10419894.42,7050078.359,39925119.66,100497664.8,26289182.08
P62937,28056777.53,58544394.83,18282821.42,6719780.699,40957027.25,107558511.5,34684471.45
P51884,46462066.75,49409554.5,27428557.59,26909943.41,15718420.05,24926341.89,13574618.84
O14980,38570930.63,48188232.39,22141515.03,27090450.72,34909516.19,36710743.36,21677720
P05156,74158425.22,63699153.13,16983724.78,10665651.13,8292907.031,7144596.734,19199496.2
Q9HCB6,16410497.25,84867993.38,15795890.38,27931367.94,48399973.38,50126789.13,16261206.75
Q15762,78713816,22839934,8794652,15439530,21831606,6864469,22284466
A0A087WSY6,52783449,9060905.625,8791321.438,13510308,62429067.31,12378965.19,9030823.25
P17612,23569430,12525887.08,94423946.78,25378934.48,25394046.23,16296876.66,30500770.38
P01700,43541210.94,18284222.75,3658828,18129685.06,22644451.25,11156284.63,10551891
P20742,106026265.9,56471660.78,7551389.813,2206473.031,9869075.172,59254814.38,19780179.61
P02654,30917311.84,22841388.44,48454622.7,26931978.08,19700288.34,15063737.31,45848957.86
P01709,66827428,26896485.72,7515144.438,23543110.36,12186654.42,10092377.53,14878243.23
Q9Y696,52151834.28,32343502,8041219.563,31421782,38167206.44,37994322.99,12503898.25
Q9Y6R7,36641280.88,39116394.73,5245149.672,20778438.01,67713066.77,22840409.97,11491550.97
A0A0C4DH68,54705581.63,32839108.75,14775977.97,14068237.56,24823221.84,13960438.06,9171997.75
P02655,20760892.27,26809874.42,47913227.69,35818406.34,11884914.63,14489749.13,27419737.88
P13639,16350232.84,23189849.89,39677473.22,35120918.11,30290776.17,23879800.22,29690965.51
Q92626,22283126.5,21719701.53,33514242.28,22448989.88,20331580.39,14506136.27,40392777.2
P47756,48023581.86,45596701.44,12587243.5,3818798.5,41991309.72,39335755.22,17075037.47
P68104,20572784.75,9267528.141,58188562.08,19470165.35,30859987.2,16600541.63,27519157.49
P0DMV9,18771277.81,22059748.88,36167671.24,15738031.18,19051611.55,32983259.3,31794881.52
P07355,22986398.77,27073899.38,37547504.66,16946816.83,26035702.59,28821389.61,32208147.61
P50995,10438853.9,8015340.906,2220171.906,6634419.031,10694818.17,42119567.45,7039816.672
P02765,15309944.94,15974400.59,88639413.06,29532634.06,11272383.25,8340000.438,41493373.11
P02649,31729192.59,24362195.33,6478977.313,25383163.16,31069614.84,21606319.77,49908619.91
Q00610,24745137.44,23524327.42,21646534.11,23279948.66,20972871.98,28617691.64,28216105.73
P08238,34770205.66,20499800.11,8537398.293,24718672.02,32405139.01,42866304.94,18267724.99
P00734,15951531.92,7058727.578,83262731.34,23467325.11,11615486.39,9244826.906,43383959.26
Q05707,50878448.98,18557581.11,17429942.7,20742076.16,20550967.09,28061254.16,22739578.91
O75083,18706246.2,30502839.27,18592955.75,10406002.45,34974144.3,67765134.08,29490540.14
O60814,18759217.51,15549927.52,37386618.25,29991588.36,27235262,12011885.37,27811503.21
A0A0C4DH43,28759698.06,9283287,8786864.5,23998427.97,16389209.09,13602806.48,16902135.94
P35749,22295492.34,22812052.33,8533612.453,21321225.3,31199476.53,30140339.05,19262142.3
Q9BRX8,49654090.19,20206099.88,8874191.281,22262638.81,14442225,12236810.91,10322922.27
Q9P2J5,28769966.94,33996376.42,15182653.94,35756916.78,26347748.5,23851175.67,16413875.08
P12956,30979049.61,15288300.05,22202124.06,25569317.84,18082572.16,13156995.72,17032980.47
P14866,31186952.75,1554326.133,14335352.88,41429750.2,22104987.34,4578367.359,25488460.75
O43854,19389423.68,23939459.2,19006352.96,30007123.41,20908675.83,24678663.63,24084639.61
Q16181,9590663.563,5578655.125,55517124.5,4908133.766,28934872.13,23310734.94,32135900.66
P06733,18131811.89,24005292.23,9464870.125,8999552.586,26224392.22,96499768.67,18874219.06
Q15019,20733968.94,3081871.188,45442689.06,26973517.83,15470888.02,20327007.69,21653012.34
Q9Y4G6,24957957.83,9529189.781,23172733.55,31535781.63,21613599.06,72424085.58,9543852.047
Q9H4B7,11591457.38,24016330.2,5827103.25,10247599.19,36434172.88,81636153.8,23192440
P08237,32112341.25,10185524.72,5994841.063,14120005.56,8435217.672,15115209.63,11228266.06
Q9Y230,23918593.84,10498758.05,20792717,30134210.53,23089882.42,62605342.33,13333921.5
P35573,10788176.47,5316777.031,52343000.38,26738820.09,23158879.5,14456588.86,26967418.75
P22392,25564166.5,7821915.125,12184448.88,35500478.41,23411501.56,13065251.42,27590998.41
P05556,16582025.33,23385388.91,12113961.56,10046156.72,17434036.3,45458465.52,24978622.75
O14791,53565240.38,16404361.86,2858111.813,10254450.33,6269020.898,9506147.563,20756344.81
Q14980,431162.4688,239351.8438,51481940,910127.3125,97594074.44,0,32031702.13
Q8WXI7,35084872,6052551,519345.5625,16561773.39,18018964,10572443.63,6474970.5
P35998,27679539.47,14338385.63,6643116.766,13616882.86,12739891.72,19761397.31,2745032.797
O00469,14053517.69,9284344,24804592.86,18357580,16551601.41,16886033.06,33266908.63
Q13418,10941332.48,16414033.31,27565931.95,14565997.27,29483949.15,49703512.75,26665557.63
P62244,7726251.156,2445838.797,30418655.38,49691471.09,49381972.83,31365913.97,5213311.625
P14625,21808728.92,14217600.53,8622361.313,22517937.28,11810350.89,16681965.39,16624986.31
P01764,30243917.03,4789279.813,4082078.75,3096113.125,24971440.69,8894054.938,6129436.5
P00750,27931890.73,27766958,8865934,12258750,35332264,28312204,15677868
P08519,3405731.422,57616341.73,2678511.469,1940552.719,203223.6094,32549205.91,11396502.48
Q86UX7,11004874.03,24688089.41,6970046.289,3514593.023,36194506.61,67262692.53,22569544.55
A0A0C4DH25,31509456,6430144,9456240,16934256,11887192.63,7842251.875,13568915.63
P02749,3850298.438,10419481.59,47097860.47,22751803.14,16506975.72,22276039.17,33702262.8
O95810,23250506.88,19115454.95,10114401.06,14820466.44,15331544.81,31594855.81,14925495.48
P60660,4327627.781,6778695.25,23980904,16141395.91,21327028.25,39276400.95,22317715.73
P04432,38538642.63,6841033,2223115.188,5318289.5,20481192,8680528.203,10039695
Q9BPY3,10763609,11480430,42528488,8157000,5186638.5,7571803.5,43557124
P35527,5388753.594,3526397.344,68564639.55,2991200.5,10842850.45,18937776.72,7062363.031
E7ETH6,11184979,10860885,36313828.25,27169530,16264693,8813336,19050654
P02743,39136015.44,12158386.39,14114136.88,27234586.63,12843210.13,17892730.1,26835748.63
P02792,13818393.75,12774780.81,27364057.02,20707768.04,12675350.29,12921206.8,17373970.49
Q00839,21088113.84,10816825.9,19261736.91,25890734.84,13374825.16,16337288.88,16397553.11
P07948,13898987.78,18868627.27,6923058.641,34853034.48,21757915.02,14982919.47,2220646.172
Q14195,19029612.89,11527652.09,15447649.95,14789568.44,22455348.33,21216328.77,20687709.89
Q08257,8810161,13618840.13,7801656,6320390.953,29339273.05,49848532.83,15413498.41
P02794,7663346.563,5058566.641,44337797.53,27285693.41,13074259.13,2302773.297,21226667.56
P10643,8416549.297,18585600.98,22178701.97,12456681.59,4403942.828,7082760,15601245.22
Q08431,15311426.55,21565566.17,11722883.17,14485123.06,17819728.73,16389421.95,12574214.81
P19652,16060169.44,6894674.219,32983631.41,22868965.39,17101681.94,9080727.703,18093281.34
P01704,3266660.5,28690319.78,517043,18543491.75,19776226.56,11936343.53,1378287.656
A0A0C4DH73,34341508.75,6286296.656,8624830.344,8193825.969,15228710.97,8482440.609,7652560.313
O95793,14732386,4617115,21834362,27542014,19941804,61354904,8679557
A0A075B6I9,39088832.19,16440540.28,7129168.656,14605919.16,11688889.22,7733073.75,7184170.531
P21980,32860108.56,10321396.75,11168396.19,15957414,11843734.25,4867510.625,14468143.06
Q14974,8019889.5,6264824.094,38263208.59,16503417.19,14882336.06,9720269.156,23149506.25
P46781,33893233.13,25208971.09,3227309.719,1928551.367,7222037.484,102838.6875,6539769.672
Q969P0,21560831.69,15619460,17174936.81,19770974.06,11124842.56,10367779.41,17574459.52
P07437,14327446.78,11894951.58,6434959.484,9520446.453,24560342.44,39448715.42,18020378.5
P62847,14839906.63,20250443,5776351.234,24568171.94,8291518.797,5702121.563,9091870.359
Q93034,11852341.81,13194534.13,14801838,8637818,0,8141905.75,19195371.41
P61224,8885681.344,23498279.53,4364105.719,1641422.094,17289938.08,78256347.45,17020974.63
Q9NRY5,30281784,12087939,6194638,6428365.5,9106599,5960972,19647460
A0A0C4DH31,23995915.41,9570218.406,2461761.344,13990287.69,21937261.53,7845662.656,3134349.719
Q5VYK3,11927774,9682013.281,15359872.59,8671606,5296693.75,7624885.109,13661544
Q14767,16434241,17074821.25,18743670,14972056,7988426.5,10164231,14552058
P09914,14820480.94,14172160.45,4562574.109,5644837.047,20078922.05,39972792.33,16067163.95
P98160,15298030.29,5517446.227,15392071.13,12929749.97,24095631.34,19994360.11,12987531.41
P61978,23067294.82,14956463.28,4167077.609,14090925.94,15245245.56,15189522.94,10336196.16
Q96Q06,60041263.81,10872504.39,2545634.5,7953819.281,9639646.813,4806226.938,8090430.906
Q9UFD9,13276963,9775808,6779686,14434314,8293777,1737107.875,9019827
P00488,8300960.359,19376582.91,11432663.2,7960477.297,17094200.73,45565830.66,14513683.88
P02776,4626881.75,12804477.63,8097280.063,7568739.188,19019065.5,49628962.38,17274381.06
P05023,11976404.06,5892865.313,15620097.34,6925593.625,20957493.5,26358529.44,15979922.95
P34896,18783117.59,8715098,19798816.88,16491788.75,10640116.16,8198011.094,19382914
P02042,2673047.469,10696691.42,2139044.75,19375852.81,29473341.17,26141032.59,9254913.875
A0A0A0MS15,27625120.69,5696197.094,8031569.063,16403327.25,8670039.625,6017933.25,35180812.69
P50552,13416242.41,13260941.75,8355944.125,8046681,19934078.36,18421586.2,16333636.92
P62258,16500137.49,19628686.23,5666297.406,6041011.875,15526755.03,32557588.56,13169929.17
P78527,10851203,69355522.53,7774025.672,6396392.766,4665395.031,8823380.984,2570592.406
O00299,14698484.44,17689623.61,5444682.758,4518522.688,12413597.88,27289712.89,6568801.25
A0A0C4DH67,27189497.88,5459294.188,4459827.688,9053043.531,11041515.81,7744396.063,6327326.625
P00558,19636948.24,22385034.25,4961871.938,5054969.485,15050624.31,28508858.33,8001897.834
P08133,10475199.17,10073190.22,23628136.27,10555328.97,8186882.063,10393052.58,15269109.59
P78371,17062308.45,8586841.266,5723753.133,16186943.22,17454689.32,12306956.32,3241736.766
Q13526,4427340.25,5396794.5,7451212.375,8512579,24976140,45312392,17882788
P55072,12470553.2,13701611.6,7078621.688,7016167.148,12968174.8,19210162.98,6884756.484
P31948,13986399.75,5481315.984,6665667.594,3753392.219,15783006.47,16047045.75,44127922.31
P18124,20220774.88,18545574.52,673926.2656,1887258.297,13062851.14,6828698.313,16152697.78
Q01518,7705105.609,21035154.7,8506870.859,7485197.984,16953369.22,36661854.95,13230189.7
Q15485,31624990.94,8943474.313,4331959.031,9805988.875,11258277.63,10184718.77,7900942.688
Q8TAQ2,27201258,11012668.75,5912662.438,7074875.875,10382449.78,3893216,13272124.44
P26038,8091392.578,15268898.9,10374557.97,10157132.89,20989238.44,27175118.56,11734565.33
P54578,14591354.94,2905303.125,30497112.34,16033107.72,13351758.25,8326571.375,19036461.59
Q96PP8,5928759,8200962.016,27726698.35,14128041,17853336.09,7854291,15726461
P35580,16679185.59,24764553.81,5185297.375,11437109.8,12816543.53,12533744.19,9619933.813
P31689,3556592.188,1617213.25,4722191.813,8359519.484,9023795.938,37340060.59,3065215.781
Q9NZM1,10554792.28,6662346.313,14855329.98,15352581.3,2818427.023,40795795.05,9807641.469
P07357,18269663.89,7308577.281,15603478.95,9190640.141,5697834.063,4638941.938,13089416.23
P20618,11966152.03,29910603.88,233473.5781,6231406.125,13733399.03,29123800.91,10604130.16
Q07021,17775866,22826895.13,4757087.5,13799518,11043001.13,13561820,4693135.5
Q03426,20902840,9595808,12440453,10960959,11757818,8643315,10913340
P15311,13403709.55,16667804.24,7808911.609,7403356.234,16294809.88,28877289.78,12374217.39
Q13618,24810044,18031929.31,4915147.953,4276745.391,5442549.563,3194754,11456045
Q14764,9112723.594,9442224.008,22554784.08,13686428.91,9786686.453,9146329.578,18001429.78
O75955,38671921.28,15484131.59,8975322.953,10588415.03,3901653.156,2581357.25,5971784.5
P08670,16925336.69,11890077.14,6928701.781,9901748.734,9044840.047,12083260.16,11645691.8
Q08211,10661885.02,9205829.609,8984634.531,10216959.45,13268788.14,22817305.84,14561770.27
P28838,7236883,4841839,28951034.84,11679210.47,13190915.39,7022359.797,15551774.44
P08567,9805941.219,8795121.219,5961137.594,3355465.844,19288512.88,47738678.92,17076529.5
P38919,6654346.141,9608214.297,12457343.05,6129697.984,14561359.02,11541882.73,12914122.5
Q9NUV9,0,28172431.13,0,27366.63281,312341.2188,85859.41406,215153.9063
P11387,8266681.656,14176997.13,6893317.25,15720214.13,8555075.594,2404470.281,3222138.453
P61158,44539936.08,15213838.13,12188619.52,2330445.875,15893017.59,7733454.563,3413751.5
P22352,13645556.5,21858911.56,3131008.938,5714043.406,5494980.219,2983148.516,8000125.266
P02748,14458428.88,8577506.672,14102088.84,7480731.922,2017695.531,9267411,9426043.531
Q16555,5336050.531,11284268.61,10449284,7926959.594,12546806.53,20378373.88,11551175.2
P07814,12313020.64,11675983.67,16136847.33,9202819.344,6168022.625,7452836.5,10537811.18
Q9UL26,28277734,9661125.313,3879611.422,4176215.008,10326343.1,5772037.859,8978881.602
Q63ZY3,9304812.281,3138118.406,7989721,17713960.31,17584311.06,45129324,5074696.5
P02786,9147638.063,9726436.094,11150948.61,5164459.773,16931080.81,9330045.922,6717303.906
